match_id,start_date,team,opponent,home_advantage,delta_wt_win_perc,delta_wt_bat_avg,delta_wt_bat_sr,delta_wt_bowl_avg,delta_wt_bowl_econ
1153856,2019-01-29,New Zealand,India,1,-100.0,-173.8,-31.72,173.8,1.9
1153857,2019-02-01,New Zealand,India,1,-100.0,-102.84,-24.21,102.84,1.45
1168165,2019-02-14,South Africa,Sri Lanka,1,100.0,7.92,2.44,-7.92,-0.15
1168166,2019-02-17,South Africa,Sri Lanka,1,100.0,11.52,4.49,-11.52,-0.26
1144983,2019-02-24,Australia,New Zealand,1,75.45,0.38,9.4,-7.13,0.09
1172161,2019-02-25,England,India,-1,-75.45,-18.1,-18.14,0.13,0.14
1172162,2019-02-28,India,England,1,80.02,19.31,13.41,-8.6,-0.12
1144984,2019-03-03,New Zealand,Australia,-1,-80.02,-6.82,-10.92,13.26,0.28
1176432,2019-03-16,England,Sri Lanka,-1,32.18,-2.49,-7.99,-8.18,-0.62
1176433,2019-03-18,England,Sri Lanka,-1,48.27,3.16,5.3,-13.25,-1.13
1176434,2019-03-21,Sri Lanka,England,1,-57.91,-5.29,-9.48,15.32,1.25
1177016,2019-05-09,South Africa,Pakistan,1,-23.72,-7.64,-1.6,14.86,1.52
1168022,2019-07-02,England,Australia,1,-35.67,-7.22,-0.18,-0.03,-0.6
1168023,2019-07-04,England,Australia,1,-43.21,-5.33,-0.14,1.23,-0.4
1168024,2019-07-07,Australia,England,-1,48.99,6.7,0.68,-2.26,0.35
1183513,2019-10-05,Sri Lanka,Australia,-1,-100.0,-13.73,-14.2,23.0,1.24
1183514,2019-10-07,Sri Lanka,Australia,-1,-100.0,-14.95,-17.77,22.56,1.41
1183515,2019-10-09,Sri Lanka,Australia,-1,-100.0,-15.1,-19.9,21.63,1.51
1200180,2019-10-09,South Africa,India,-1,12.88,-3.91,1.06,-0.48,0.17
1200181,2019-10-11,India,South Africa,1,3.2,9.11,0.22,-2.62,-0.19
1200182,2019-10-14,India,South Africa,1,14.9,8.94,0.35,-3.34,-0.22
1208344,2019-12-09,England,Pakistan,0,-4.42,6.08,12.88,7.79,0.6
1208345,2019-12-12,Pakistan,England,0,-15.83,-6.2,-8.26,2.01,0.29
1187714,2020-01-25,South Africa,New Zealand,-1,36.73,2.52,-2.49,-14.29,-0.6
1187715,2020-01-27,New Zealand,South Africa,1,-43.28,-4.34,2.46,17.36,0.57
1187716,2020-01-30,New Zealand,South Africa,1,-48.4,-6.75,0.07,19.5,0.66
1223944,2020-10-03,Australia,New Zealand,1,88.14,14.98,14.39,-22.65,-0.83
1223945,2020-10-05,Australia,New Zealand,1,89.15,16.24,15.62,-23.79,-0.89
1223946,2020-10-07,Australia,New Zealand,1,89.97,16.06,15.03,-23.13,-0.87
1244843,2021-01-20,South Africa,Pakistan,1,37.66,9.85,0.92,-14.09,-0.93
1244844,2021-01-23,Pakistan,South Africa,-1,-44.82,-8.22,-1.68,10.34,0.72
1244845,2021-01-26,South Africa,Pakistan,1,50.08,7.31,0.76,-10.46,-0.7
1249232,2021-02-23,England,New Zealand,-1,44.89,6.97,9.14,-20.07,-0.81
1249233,2021-02-26,New Zealand,England,1,-48.32,-8.27,-9.97,21.83,0.83
1249234,2021-02-28,New Zealand,England,1,-51.25,-9.24,-10.65,22.87,0.86
1253267,2021-03-07,South Africa,India,-1,-6.89,-4.32,1.26,1.57,0.22
1253268,2021-03-09,South Africa,India,-1,0.6,-1.77,2.39,0.09,0.14
1253269,2021-03-12,South Africa,India,-1,-4.76,-4.4,0.91,1.46,0.2
1253270,2021-03-14,South Africa,India,-1,1.22,-4.62,0.43,1.12,0.18
1253271,2021-03-17,India,South Africa,1,-6.37,4.83,-0.22,-0.51,-0.14
1249241,2021-04-04,Australia,New Zealand,-1,86.99,17.76,17.45,-24.82,-1.03
1249242,2021-04-07,New Zealand,Australia,1,-87.61,-18.35,-17.61,25.08,1.03
1249243,2021-04-10,Australia,New Zealand,-1,88.15,18.36,17.58,-24.68,-1.03
1260094,2021-06-27,England,India,1,-5.05,-4.58,8.51,-0.03,0.11
1260095,2021-06-30,India,England,-1,0.0,3.0,-9.43,1.02,-0.03
1260096,2021-07-03,India,England,-1,-4.44,1.68,-9.23,1.77,-0.02
1260103,2021-09-16,England,New Zealand,1,46.5,9.07,9.67,-17.69,-0.85
1260104,2021-09-19,England,New Zealand,1,48.54,8.74,9.51,-16.49,-0.83
1263617,2021-09-21,India,Australia,-1,-42.28,-6.16,-16.65,7.05,0.16
1260105,2021-09-21,England,New Zealand,1,50.36,8.4,9.28,-15.39,-0.8
1260106,2021-09-23,England,New Zealand,1,45.4,7.74,8.74,-14.02,-0.76
1263618,2021-09-24,Australia,India,1,44.49,7.84,16.67,-7.8,-0.17
1260107,2021-09-26,New Zealand,England,-1,-47.09,-7.67,-8.47,13.7,0.74
1263619,2021-09-26,India,Australia,-1,-46.47,-8.1,-16.04,7.88,0.16
1263575,2022-02-03,Australia,England,1,34.71,10.21,7.74,-3.81,-0.04
1263576,2022-02-06,Australia,England,1,36.54,9.73,7.33,-3.87,-0.05
1263577,2022-02-08,England,Australia,-1,-38.2,-9.95,-7.51,4.17,0.09
1289032,2022-02-12,New Zealand,India,1,-42.38,-11.53,-2.12,11.2,0.72
1289033,2022-02-15,India,New Zealand,-1,38.28,10.77,1.33,-10.36,-0.64
1289034,2022-02-18,New Zealand,India,1,-34.55,-10.77,-1.26,10.22,0.62
1289035,2022-02-22,India,New Zealand,-1,31.14,10.23,1.26,-9.45,-0.6
1289036,2022-02-24,New Zealand,India,1,-28.0,-9.24,-0.81,8.28,0.56
1243910,2022-03-05,England,Australia,0,-39.73,-10.83,-7.89,4.66,0.13
1243909,2022-03-05,Bangladesh,South Africa,0,27.68,-1.62,-4.73,4.53,-0.2
1243911,2022-03-06,India,Pakistan,0,35.28,10.21,6.32,-1.85,-0.15
1243912,2022-03-07,Bangladesh,New Zealand,-1,30.24,0.07,-11.17,-13.18,-1.0
