match_id,hash_id,start_date,team,opponent,home_advantage,chasing_advantage,delta_team_strength
271466,f5d88ce94b35ab7c708760ff4dfea0c1,2007-01-24,Pakistan,South Africa,-1,0.0,-1.2732394366197184
341306,fe5e3aeb2351b016a68cd3871b7f5e4d,2008-05-11,India,Sri Lanka,-1,1.0,4.535479151426482
527679,2e83993918d8f7df7d65b1c71ec07101,2011-10-21,South Africa,England,1,-0.5,-8.565429030203703
527680,60733805acc69f50ebef033d2b24f043,2011-10-23,South Africa,England,1,-0.43,-6.164126279230355
527681,c5495e507fb7b97b618433cac9d1dad1,2011-10-25,South Africa,England,1,0.38,-4.089608331417557
542852,7cecebfb3ad8075a6428accc3e7b7a2f,2012-07-01,England,India,1,1.0,2.6059509168076005
542853,3e8ff5c732a280f8027798b025184d90,2012-07-04,England,India,1,-1.0,0.8325922263402465
542854,871f136a2d07877840b9f9815413ce79,2012-07-05,India,England,-1,0.67,-0.2969690445309122
542856,cf654d2e708316d21027c30a4ca04246,2012-07-11,England,India,1,-0.75,0.41118512092534176
584546,62fb4914cb9d49250d194c1a460802ec,2012-12-12,Australia,New Zealand,1,1.0,0.3700895657809462
584547,c5ca7448110e761fff7eb86290392ac2,2012-12-14,New Zealand,Australia,-1,1.0,0.44758919307144607
584549,98f24abb4b5493cebfc4d475a7bf5880,2012-12-19,New Zealand,Australia,-1,-1.0,0.08649581341502792
593723,a8154ccf94cafd0f5bd24ceb5e5ce8ef,2013-08-20,Australia,England,-1,0.71,-0.5741546610762572
593724,29047b065fcd8d4a3abbc5264e4be39b,2013-08-23,England,Australia,1,0.63,0.38785664213426413
593725,8a2a92b98b74fbe06c0525d1ccc5d36d,2013-08-25,England,Australia,1,-0.56,0.5437873487729644
594894,acc75427635f9d0c6cb7e4f2107e1921,2013-02-01,Sri Lanka,England,0,-0.5,-1.4388225143403441
594897,61ea110a3fbd1f550252d65a91dfe266,2013-02-03,India,England,1,-0.67,-0.4550226343493867
594901,c9b22df6bbfc22f3d3305b1270c7ea06,2013-02-05,India,Sri Lanka,1,-0.5,0.496258249507109
594904,82af3f433c8db5fb7ccc0e2d42c3a297,2013-02-08,England,Australia,0,-0.4,0.8385952754276909
594907,8f4fcde03d93c920327b21c1cd59b57d,2013-02-10,Australia,Sri Lanka,0,-0.33,0.11322147507543012
594912,980f646ec923b0377d02bf578f91e76f,2013-02-13,New Zealand,England,0,-0.38,-0.8017378656959268
594914,84d50aee9c24142801130ab0b7df6180,2013-02-15,New Zealand,England,0,0.33,-0.9164040033584167
627006,1d1b00f90e3c0d29496cbad684c2e4d2,2013-07-01,England,Pakistan,1,0.8,1.141601810774106
627007,e0c18f357f3e218386b2e37af5bf3016,2013-07-03,England,Pakistan,1,-0.67,1.1971871148459383
664303,d83266ba5c1ce1870e59c9d8f7214f87,2013-09-24,South Africa,Bangladesh,1,-0.5,0.414678886756238
666039,164d2a2dd485f5ab6786f033c5fed122,2014-01-19,Australia,England,1,0.75,-0.5819859777971125
666041,6f612877118c8406d536a2bc0bb7a3a3,2014-01-23,Australia,England,1,0.8,-0.6293187066232636
666043,a69a143c50447aafe0147976874e4e62,2014-01-26,Australia,England,1,-0.67,-0.48768042097795616
668511,dea880a59f0f2b5895836c548d8902f8,2013-10-26,Sri Lanka,South Africa,-1,-0.55,-0.3088514176331684
722389,34f08f6fa02f07afe50b6aa740abbfa2,2014-08-21,India,England,-1,0.6,-0.531603218677363
722391,813144173a7fb77909485598f0f279aa,2014-08-23,England,India,1,0.64,0.616967554490611
754787,593d881fccd104bfe1beb58b3405bfda,2014-08-23,Australia,Pakistan,1,-0.71,0.5826917357910907
754789,81fe7f6a593e027282cf73a73b704b90,2014-08-26,Pakistan,Australia,-1,0.75,-0.6239428342930262
757507,efb62432e297080844f102e21d1f8777,2014-10-19,Sri Lanka,South Africa,1,-0.6,-0.5458322965239153
757509,3fa66b72247854bee144de787cdf51f3,2014-10-21,Sri Lanka,South Africa,1,0.67,-0.39114418727222644
798369,acad9b27f3ce307595e58ec23aa1d0f1,2015-07-21,Australia,England,-1,0.58,-0.36405048796356543
798371,3670c8d15798c7ea0df3ce458731a01a,2015-07-23,Australia,England,-1,0.62,-0.4247730287251325
798373,08704f07266b248e22015be1906be62b,2015-07-26,Australia,England,-1,0.57,-0.31448083638212454
808865,967b802c4a036343151630976535fbbb,2015-01-13,Sri Lanka,Pakistan,0,0.0,0.12850223660349339
828245,f6de5819947ee7c6b95f303daff719d3,2015-03-17,Pakistan,South Africa,0,0.5,-0.5636449063983149
872481,e8b0743f89259bdfdba9012a60bf0f4a,2015-07-06,New Zealand,India,-1,0.36,-0.21447957206671012
872483,dbdc75776797f98e0944e9131a42eefa,2015-07-08,New Zealand,India,-1,0.42,-0.3357573192385708
895797,0c8be3e6c92b9a85d4532cfb168e06ec,2016-02-07,India,Australia,-1,-0.69,-0.16989199527828516
907375,46d124da09389c16d5a6d3329b2b49c8,2016-02-07,England,South Africa,-1,-0.5,0.15957015127015128
916647,e33c0e394fa5fba69207ca49550b129b,2015-11-05,Sri Lanka,New Zealand,-1,0.0,0.003508862950429341
916661,9013fcf02e02dbe72adab5e2c39a0d6b,2016-02-20,Australia,New Zealand,-1,-0.5,0.41006241632410056
916663,670c34c7e5b26fbfbc8c84ccccf53cfc,2016-02-22,Australia,New Zealand,-1,-0.33,0.31906880987423064
935813,4f38a7681acd4df3adf906e88a4c2691,2016-10-11,New Zealand,South Africa,-1,0.44,-0.3929176745962708
935817,14f58b837bf48c353c2e44f29e09e0bf,2016-10-17,South Africa,New Zealand,1,0.47,0.449629908443493
935819,d5b6ebdce5ff14cfb1fe205179ddb9ed,2016-10-19,New Zealand,South Africa,-1,0.5,-0.308039011207441
935821,51a037ab6023c878e195aa4e3479e1a2,2016-10-22,South Africa,New Zealand,1,-0.47,0.20627672313209
935823,3c41d4c1fc70b27d350d35ad3ac029c5,2016-10-24,New Zealand,South Africa,-1,0.5,-0.2762216307567663
946545,7056e8555e4b1be7ab6ff4e70d08a2cc,2016-06-20,Pakistan,England,-1,0.53,-0.7568358191120876
946547,91a6aa8028433643db51c74cbdfefba1,2016-06-22,Pakistan,England,-1,-0.56,-0.8100172989353722
946549,dd5d06dcaee4ae885d775ffd9d322935,2016-06-27,Pakistan,England,-1,-0.53,-0.8805597577757802
1041525,9fc01986a7954c9bab51e704e6347a34,2017-01-20,South Africa,Bangladesh,-1,0.0,0.5135758125472412
1043953,e02a2b27bcdc55ec70c6e0cd31850426,2016-11-18,South Africa,Australia,-1,0.71,-0.19777677075438133
