match_id,start_date,team,opponent,home_advantage,delta_wt_win_perc,delta_wt_bat_avg,delta_wt_bat_sr,delta_wt_bowl_avg,delta_wt_bowl_econ,result
1123205,2018-02-10,India,South Africa,-1,100.0,88.27,33.64,-88.27,-2.02,0
1131233,2018-03-15,Australia,India,-1,65.5,68.24,21.82,-16.93,-1.03,1
1138201,2018-03-24,Sri Lanka,Pakistan,1,-100.0,-26.07,-13.06,26.07,0.78,0
1131778,2018-04-12,India,England,1,-78.59,-32.73,9.62,25.5,2.04,1
1144436,2018-05-06,South Africa,Bangladesh,1,65.5,12.18,25.85,1.23,-0.65,1
1144437,2018-05-09,South Africa,Bangladesh,1,73.69,18.37,34.41,-11.08,-1.11,1
1144438,2018-05-11,South Africa,Bangladesh,1,78.59,21.71,38.85,-18.04,-1.4,1
1144439,2018-05-14,Bangladesh,South Africa,-1,-81.86,-22.55,-38.71,18.14,1.34,0
1126717,2018-06-09,South Africa,England,-1,33.32,4.54,13.66,-5.35,-0.14,1
1126718,2018-06-12,England,South Africa,1,-51.43,-10.19,-13.82,12.28,0.28,1
1126719,2018-06-15,England,South Africa,1,-27.62,-2.56,-2.89,9.14,0.32,1
1126728,2018-07-10,New Zealand,England,-1,-65.55,-24.53,-12.84,32.41,1.47,0
1126729,2018-07-13,England,New Zealand,1,69.97,22.86,22.03,-12.35,-1.24,0
1157706,2018-09-11,India,Sri Lanka,-1,33.4,15.07,20.41,2.25,0.21,1
1157707,2018-09-13,India,Sri Lanka,-1,41.95,17.51,23.72,-6.62,-0.09,1
1157708,2018-09-16,India,Sri Lanka,-1,48.36,14.16,17.52,-2.94,-0.02,0
1161228,2018-10-18,Pakistan,Australia,0,0.0,-13.66,-21.66,-8.14,-0.93,0
1161229,2018-10-20,Pakistan,Australia,0,-32.18,-14.23,-25.04,-3.21,-0.28,0
1161230,2018-10-22,Australia,Pakistan,0,48.27,17.67,28.0,-3.11,-0.48,1
1153855,2019-01-24,India,New Zealand,-1,11.52,11.31,8.35,-1.96,-0.5,1
1153856,2019-01-29,India,New Zealand,-1,23.94,13.32,10.52,-8.95,-0.69,1
1153857,2019-02-01,India,New Zealand,-1,32.43,15.13,11.96,-13.17,-0.67,0
1168164,2019-02-11,Sri Lanka,South Africa,-1,-52.4,-15.5,-15.06,10.35,0.63,0
1168165,2019-02-14,Sri Lanka,South Africa,-1,-57.32,-14.43,-13.06,10.05,0.59,0
1168166,2019-02-17,South Africa,Sri Lanka,1,61.07,14.21,11.58,-10.76,-0.62,1
1144982,2019-02-22,New Zealand,Australia,-1,-67.82,-19.04,-27.35,14.74,1.03,0
1172160,2019-02-22,England,India,-1,13.43,2.42,4.82,-2.54,-0.26,0
1144983,2019-02-24,New Zealand,Australia,-1,-71.95,-14.65,-23.06,11.88,0.88,0
1172161,2019-02-25,England,India,-1,4.25,0.69,3.16,-1.91,-0.21,0
1172162,2019-02-28,England,India,-1,-3.25,-1.7,2.27,-0.11,-0.19,1
1144984,2019-03-03,New Zealand,Australia,-1,-75.04,-15.36,-21.78,12.91,0.89,0
1176432,2019-03-16,Sri Lanka,England,1,-42.9,-10.58,-10.4,8.92,0.48,0
1176433,2019-03-18,Sri Lanka,England,1,-47.15,-11.66,-12.92,10.74,0.69,0
1176434,2019-03-21,England,Sri Lanka,-1,50.69,12.07,14.01,-11.68,-0.77,1
1177015,2019-05-06,Pakistan,South Africa,-1,-34.22,-11.28,-11.99,1.35,0.58,1
1177016,2019-05-09,Pakistan,South Africa,-1,-21.81,-8.43,-10.56,-1.88,0.4,0
1168022,2019-07-02,England,Australia,1,-36.98,-6.3,-8.85,3.82,0.04,0
1168023,2019-07-04,England,Australia,1,-39.93,-5.34,-7.83,3.99,0.07,0
