,match_id,start_date,team,opponent,home_advantage,delta_wt_win_perc,delta_wt_bat_avg,delta_wt_bat_sr,delta_wt_bowl_avg,delta_wt_bowl_econ
0,1310985,2022-06-03,Sri Lanka,Pakistan,-1,-100.0,-68.1,-8.84,68.1,0.53
1,1310986,2022-06-05,Pakistan,Sri Lanka,1,100.0,87.46,17.34,-87.46,-1.04
2,1319713,2022-07-04,India,Sri Lanka,-1,75.5,7.77,11.06,-20.8,-0.93
3,1319714,2022-07-07,India,Sri Lanka,-1,80.76,38.1,27.44,-30.14,-1.3
4,1301329,2022-07-15,England,South Africa,1,100.0,22.0,37.25,-22.0,-2.24
5,1301330,2022-07-18,South Africa,England,-1,-100.0,-33.64,-29.82,33.64,1.79
6,1301337,2022-09-18,India,England,-1,0.0,-14.27,-28.21,-4.77,-1.4
7,1301338,2022-09-21,England,India,1,-29.93,-1.16,15.26,7.62,1.18
8,1301339,2022-09-24,India,England,-1,46.22,13.46,-6.3,-12.93,-1.22
9,1322342,2022-12-14,New Zealand,Bangladesh,1,100.0,68.0,37.31,-68.0,-2.24
10,1345093,2023-01-18,Australia,Pakistan,1,62.89,49.65,20.58,-12.04,-0.55
11,1345094,2023-01-21,Pakistan,Australia,-1,-74.31,-121.71,-35.5,26.24,1.5
12,1368851,2023-05-04,Bangladesh,Sri Lanka,-1,-10.2,0.52,-7.35,-3.06,-0.24
13,1379757,2023-06-27,New Zealand,Sri Lanka,-1,-1.09,38.75,10.5,-4.92,-1.11
14,1379758,2023-06-30,New Zealand,Sri Lanka,-1,-30.87,12.52,12.82,11.82,-0.4
15,1379759,2023-07-03,Sri Lanka,New Zealand,1,-2.83,-17.3,-22.85,4.13,1.03
16,1336077,2023-07-12,England,Australia,1,-56.46,-23.05,-12.69,10.12,1.33
17,1336078,2023-07-16,Australia,England,-1,-3.46,9.3,3.95,-6.02,-0.66
18,1382166,2023-07-16,India,Bangladesh,-1,100.0,22.18,23.93,-16.61,-0.85
19,1336079,2023-07-18,Australia,England,-1,25.1,6.85,2.97,-4.55,-0.47
20,1382167,2023-07-19,India,Bangladesh,-1,24.85,7.72,14.15,-5.22,-0.48
21,1382168,2023-07-22,Bangladesh,India,1,-45.54,-10.4,-15.46,8.46,0.64
22,1382169,2023-09-08,South Africa,Pakistan,-1,-19.59,-1.42,19.6,14.47,1.53
23,1336083,2023-09-09,Sri Lanka,England,-1,-7.93,-2.25,-10.33,5.86,-0.11
24,1382170,2023-09-11,South Africa,Pakistan,-1,49.72,21.94,23.86,-23.92,-0.09
25,1382171,2023-09-14,South Africa,Pakistan,-1,67.68,23.04,22.39,-26.1,-0.67
26,1336085,2023-09-14,Sri Lanka,England,-1,-31.88,-11.01,-17.48,13.06,0.47
27,1392348,2023-09-24,South Africa,New Zealand,1,22.02,-14.86,-10.96,-8.78,-0.17
28,1392349,2023-09-28,New Zealand,South Africa,-1,-40.07,6.14,5.71,9.2,0.21
29,1392350,2023-10-01,South Africa,New Zealand,1,51.47,3.83,-2.54,-16.15,-0.3
30,1405124,2023-11-04,Bangladesh,Pakistan,1,-7.14,-3.68,-6.26,-12.18,-0.57
31,1405125,2023-11-07,Bangladesh,Pakistan,1,-3.21,-0.2,0.68,0.0,0.0
32,1405126,2023-11-10,Pakistan,Bangladesh,-1,19.76,3.73,6.82,4.53,0.28
33,1388199,2023-12-12,New Zealand,Pakistan,1,6.9,16.81,21.68,9.08,0.77
34,1388200,2023-12-15,Pakistan,New Zealand,-1,-22.14,-23.69,-27.05,0.63,-0.2
35,1398258,2023-12-16,South Africa,Bangladesh,1,36.8,14.98,23.91,9.12,0.88
36,1388201,2023-12-18,New Zealand,Pakistan,1,25.96,16.94,23.07,-1.51,0.13
37,1398259,2023-12-20,Bangladesh,South Africa,-1,-15.43,-5.3,-16.03,-14.88,-0.96
38,1398260,2023-12-23,South Africa,Bangladesh,1,27.31,6.5,14.79,13.66,0.73
39,1406078,2023-12-28,India,Australia,1,1.26,-9.32,-19.39,-8.39,-1.07
40,1406079,2023-12-30,India,Australia,1,-27.91,-13.7,-15.99,-1.96,-0.61
41,1406080,2024-01-02,India,Australia,1,-44.12,-10.15,-12.19,-1.38,-0.45
42,1375872,2024-02-03,Australia,South Africa,1,17.39,3.75,14.06,-3.17,0.46
43,1375873,2024-02-07,South Africa,Australia,-1,-29.28,-9.93,-16.46,7.63,-0.17
44,1375874,2024-02-10,Australia,South Africa,1,11.19,2.9,14.48,-2.95,0.17
45,1425061,2024-03-21,Australia,Bangladesh,-1,48.32,10.83,31.0,-2.61,0.55
46,1425062,2024-03-24,Australia,Bangladesh,-1,55.29,13.1,29.72,-5.38,0.3
47,1425063,2024-03-27,Australia,Bangladesh,-1,60.67,14.28,31.56,-6.79,0.0
48,1388207,2024-04-01,New Zealand,England,1,-31.65,2.63,-11.37,9.32,0.07
49,1388208,2024-04-04,New Zealand,England,1,-45.21,-1.39,-9.99,10.04,0.26
50,1388209,2024-04-07,New Zealand,England,1,-54.1,-0.73,-9.32,8.75,0.36
51,1398265,2024-04-09,Sri Lanka,South Africa,-1,-23.21,-8.23,-5.86,6.44,1.05
52,1398266,2024-04-13,Sri Lanka,South Africa,-1,-23.71,-8.97,-8.11,8.74,0.91
53,1398267,2024-04-17,South Africa,Sri Lanka,1,33.82,11.04,7.34,-14.82,-0.7
54,1398271,2024-05-23,Pakistan,England,-1,-52.59,-6.9,-18.95,7.25,0.12
55,1398273,2024-05-29,Pakistan,England,-1,-62.26,-5.78,-17.6,5.97,0.25
56,1434287,2024-06-16,India,South Africa,1,-21.68,-9.61,-3.45,1.87,0.12
57,1434288,2024-06-19,South Africa,India,-1,-2.58,3.94,-1.49,5.19,0.32
58,1434289,2024-06-23,India,South Africa,1,18.19,1.0,4.11,-4.62,-0.12
59,1398274,2024-06-26,England,New Zealand,1,40.07,-1.2,5.4,-5.52,-0.34
60,1398275,2024-06-30,New Zealand,England,-1,-48.46,-5.06,-8.63,9.46,0.52
61,1398276,2024-07-03,New Zealand,England,-1,-54.86,-9.24,-12.5,12.2,0.72
62,1454391,2024-10-24,India,New Zealand,1,37.93,10.0,8.69,-3.35,-0.19
63,1454392,2024-10-27,India,New Zealand,1,49.5,7.76,9.52,-4.42,-0.35
64,1454393,2024-10-29,India,New Zealand,1,26.7,3.91,3.97,-1.6,-0.08
65,1432228,2024-12-04,South Africa,England,1,-51.26,-3.78,-8.94,15.79,0.79
66,1426620,2024-12-05,India,Australia,-1,-17.85,-1.92,-5.15,7.68,0.56
67,1432229,2024-12-08,South Africa,England,1,-26.95,2.21,-7.04,9.42,0.65
68,1426621,2024-12-08,India,Australia,-1,-31.35,-3.65,-10.96,9.19,0.91
69,1426622,2024-12-11,Australia,India,1,41.05,7.21,17.5,-9.92,-0.97
70,1432230,2024-12-11,England,South Africa,-1,36.97,1.97,8.67,-11.27,-0.73
71,1443566,2024-12-21,Australia,New Zealand,-1,62.36,11.93,19.88,-11.73,-0.59
72,1443567,2024-12-23,Australia,New Zealand,-1,67.11,12.7,20.55,-12.71,-0.76
73,1426623,2025-01-12,England,Australia,-1,-14.42,-3.42,-5.11,2.69,0.09
74,1426624,2025-01-14,Australia,England,1,25.31,5.67,6.27,-3.73,-0.15
75,1426625,2025-01-17,England,Australia,-1,-33.8,-5.35,-8.21,3.42,0.23
76,1443569,2025-03-07,New Zealand,Sri Lanka,1,1.48,-3.84,1.48,-14.79,-0.52
77,1443570,2025-03-09,New Zealand,Sri Lanka,1,16.79,1.84,7.62,-11.94,-0.41
78,1477022,2025-04-19,Bangladesh,Pakistan,-1,7.04,-3.86,-11.58,-5.87,-0.62
79,1476980,2025-04-27,India,Sri Lanka,-1,30.31,4.38,12.8,-12.23,0.0
80,1476981,2025-04-29,South Africa,India,-1,-17.94,0.48,-0.42,5.97,0.24
81,1476982,2025-05-02,Sri Lanka,South Africa,1,-18.72,-8.81,-14.76,13.07,-0.1
82,1476983,2025-05-04,Sri Lanka,India,1,-33.75,-8.21,-12.36,13.97,-0.01
83,1476984,2025-05-07,South Africa,India,-1,-26.98,-2.81,-2.73,8.44,0.13
84,1476985,2025-05-09,Sri Lanka,South Africa,1,14.76,-4.88,-10.05,1.43,-0.35
85,1476986,2025-05-11,Sri Lanka,India,1,-25.53,-6.92,-10.8,7.67,0.03
86,1448402,2025-07-16,India,England,-1,6.91,6.9,4.98,4.94,0.6
87,1448403,2025-07-19,India,England,-1,20.73,5.53,4.92,3.64,0.44
88,1448404,2025-07-22,England,India,1,-5.67,-2.18,-3.81,-5.77,-0.45
89,1488248,2025-09-14,Australia,India,-1,32.17,-1.24,3.09,-11.54,-1.0
90,1500387,2025-09-16,Pakistan,South Africa,1,6.03,-3.9,-15.79,-6.75,-1.1
